x,y,z
0.035,0.012425,-0.12325
0.035,0.012425,-0.12325
0.035,0.012425,-0.119
0.035,0.01065,-0.119
0.035,0.01065,-0.12325
0.035,0.01065,-0.12325
0.035,0.01065,-0.119
0.035,0.008875,-0.119
0.035,0.008875,-0.12325
0.035,0.008875,-0.12325
0.035,0.008875,-0.119
0.035,0.0071,-0.119
0.035,0.0071,-0.12325
0.035,0.0071,-0.12325
0.035,0.0071,-0.119
0.035,0.005325,-0.119
0.035,0.005325,-0.12325
0.035,0.005325,-0.12325
0.035,0.005325,-0.119
0.035,0.00355,-0.119
0.035,0.00355,-0.12325
0.035,0.00355,-0.12325
0.035,0.00355,-0.119
0.035,0.001775,-0.119
0.035,0.001775,-0.12325
0.035,0.001775,-0.12325
0.035,0.001775,-0.119
0.035,0.0,-0.119
0.035,0.0,-0.12325
